titles,descriptions,genres,links
"I Reincarnated as the Villain in an Eroge, But Before I Realized, I Became a Capture Target","I was reincarnated as Zagan, the villain of my favourite Eroge from my past life. In the game, Zagan lived a pitiful life from childhood and was slaughtered in the end.But when I lived a different life from the game Zagan, I often encountered the protagonist, Luca, in the city. It feels like I am being seen as a capture target… but I’m not a woman!?","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Harem', 'Shounen']",https://www.novelupdates.com/series/i-reincarnated-as-the-villain-in-an-eroge-but-before-i-realized-i-became-a-capture-target/
Carrying a Hoe to Cultivate,"Xia Yi had transmigrated, with a cultivation system into a farming novel. Orz Mission: Becoming an apprentice in the Qi Shan Sect to obtain a mythical beast. 
With his hoe on his shoulder, Xia Yi gazed at the large area of farmland in front of him, he almost blacked out: How am I going to complete cultivation missions in a farming novel? 
System: It’s fine. There is always a fix to a problem… 
And so, Xia Yi was forced to go between the two worlds, farmed a bit here, cultivated a bit there. 
Although the rubbish missions were torturing him to death, there was always a loyal doggie beside him… 
Xia Yi: Cultivating is so hard. 
Gu Wen Zhu: I’ll teach you. 
Xia Yi: Farming is so exhausting. 
Gu Wen Zhu: I’ll help. 
Xia Yi: I don’t want to have a child. 
Gu Wen Zhu: Yes, you want to. 
As the worlds mixed up, the characters in the cultivation novel frequently appeared beside him. 
The whole thing was a mess, traveling between two worlds. Claiming to be relatives with people, arranging a marriage, becoming sworn brothers with others… 
Why not let his dog at home join the party too! ","['Action', 'Fantasy', 'Shounen', 'Supernatural']",https://www.novelupdates.com/series/carrying-a-hoe-to-cultivate/
Isekai Majutsushi wa Mahou wo Tonaenai,"The Magician named Yard was suddenly summoned in different world as a 「Hero」.The sorcery in this world is behind compared to Yard who came from another world.
The other summoned heroes are also unreliable.
Furthermore, it is not possible to return to the former world…….
In such a hopeless situation, Yard chuckles to himself.
「Get ready, humans of this world. This world where witchcraft is behind.
I have enormous toy in this box. allow me to play with it」
The Villainous magician named Yard tramples down the other world with overwhelming Dark magic!","['Action', 'Adventure', 'Fantasy', 'School Life']",https://www.novelupdates.com/series/isekai-majutsushi-wa-mahou-wo-tonaenai/
Lonely Attack on the Different World (WN),"The strongest doesn’t need cheats.Haruka, a high schooler who spends his life as a “loner,” is suddenly summoned to another world with his classmates.
Noticing the god in front of him, Haruka was going to get cheat abilities by picking what he wanted from the skill list so that he could live in the other world――or so he thought, but the skills were first come, first serve.
All the cheat skills were taken by my classmates?!
After not being able to get any amazing skills, Haruka’s “loner” skill made him unable to join any parties. Even in another world, he’ll adventure in solitude.
Haruka, recognizing the crisis of his classmates, decided to secretly help them out while not relying on cheats. He’ll surpass cheats as he walks the path of the strongest――.
Let the curtains raise for the tale about the strongest loner’s attack on the different world!","['Comedy', 'Shounen Ai']",https://www.novelupdates.com/series/lonely-attack-on-the-different-world/
Ankoku Kishi Monogatari ~Yuusha wo Taosu Tameni Maou ni Shoukansaremashita~,"This legend tells the tale of the protagonist, Kuroki summoned to protect the demon king from the hero.Kuroki, unbeknownst to him, suddenly came to another world. He was summoned by the demon king, Modes. The territory which the demon king overrules was in the midst of being destroyed because of the hero. He had no choice but to bow before Kuroki.
“Please save us, Savior Dono!”
Kuroki nodded, deciding to save the demon king due to an unexpected turn of event.","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Harem', 'Martial Arts', 'Shounen']",https://www.novelupdates.com/series/ankoku-kishi-monogatari-yuusha-wo-taosu-tameni-maou-ni-shoukansaremashita/
"Kono Sekai ga Game da to, Ore dake ga Shitte Iru (WN)","Popular for being filled with bugs, the virtual-reality game New Communicate Online (a.k.a. Nekomimi Neko Offline).A die-hard fan of the game, Sagara Souma, is sent to the game world from the power of a mysterious device.
Though surprised by the sudden turn of events, Souma conveniently knows the laws of the world.
Mastering every bug, using the game’s logic against it, he is soon known as “Maverick Swordsman Souma.”","['Action', 'Adventure', 'Fantasy', 'Harem', 'Romance', 'School Life', 'Shounen', 'Supernatural']",https://www.novelupdates.com/series/kono-sekai-ga-game-da-to-ore-dake-ga-shitte-iru-wn/
The Spearmaster and the Black Cat,"After a tear in reality pulls Kagari Shuya into a white room he discovers a futuristic interface for reincarnating in a different world. After looking through the different races and skills he unlocks a new race, Lucivault, a type of vampire with none of its characteristic weaknesses. All set to start his life in a new world, Shuya is confused to discover that he is enveloped in darkness. As it turns out something went wrong when he was transported and instead of appearing where he was supposed to, he appeared in an underground cave. Shuya faces untold dangers, runs for his life, before finding his way out of the underground world. After escaping he meets his Shishou and begins to learn to fight with a spear. There is also a cute black cat named Rollo.","['Action', 'Adventure', 'Ecchi', 'Fantasy', 'Harem', 'Romance', 'Shounen']",https://www.novelupdates.com/series/the-spearmaster-and-the-black-cat/
Trash of the Count’s Family,"When I opened my eyes, I was inside a novel.[The Birth of a Hero].
[The Birth of a Hero] was a novel focused on the adventures of the main character, Choi Han, a high school boy who was transported to a different dimension from Earth, along with the birth of the numerous heroes of the continent.
I became a part of that novel as the tr*sh of the Count’s family, the family that oversaw the territory where the first village that Choi Han visits is located.
The problem is that Choi Han becomes twisted after that village, and everyone in it, is destroyed by assassins.
The bigger problem is the fact that this s*upid tr*sh who I’ve become doesn’t know about what happened in the village and messes with Choi Han, only to get beaten to a pulp.
“…This is going to be a problem.”
I feel like something serious has happened to me.
But it was worth trying to make this my new life.","['Action', 'Drama', 'Fantasy', 'Harem', 'Mature', 'Romance']",https://www.novelupdates.com/series/trash-of-the-counts-family/
"I Was Reincarnated as a Poor Farmer in a Different World, so I Decided to Make Bricks to Build a Castle","A baby was born in a world of swords and magic, crying innocently.The boy held the memory of Japan, a different world from the world he lived in.
However, he was born as the son of a poor farmer.
The boy, who witnessed the harsh reality, was driven off to the situation that couldn’t be called a “slow life”.
Using his specialty, earth magic, the boy initiated to fill his hungry stomach.","['Action', 'Adventure', 'Fantasy', 'Horror', 'Supernatural', 'Yaoi']",https://www.novelupdates.com/series/i-was-reincarnated-as-a-poor-farmer-in-a-different-world-so-i-decided-to-make-bricks-to-build-a-castle/
"Ihoujin, Dungeon ni Moguru","Fantasy World July, 1946. The existence of an alternate world was confirmed.It was supposed to be a new world for mankind.
However, the enormous cost, the annihilation of the advance troops, and fierce public opposition led to the signing of a non-aggression treaty.
Mankind turned their eyes towards space.
Half a century later.
A certain company formed a team in order to explore the alternate world’s dungeon.
Five professionals and three artificial intelligences. And one reserve member.
With modern weapons and technology, the adventure was expected to be easy.
However, the ones who had arrived in the alternate world were a defective artificial intelligence and a non-professional.
Through trial and error, they lived, ate, and fought. And, they explored the dungeon.","['Action', 'Fantasy', 'Martial Arts', 'School Life', 'Sci-fi', 'Supernatural']",https://www.novelupdates.com/series/ihoujin-dungeon-ni-moguru-wn/
