,S#,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
342,343,Ms. Sadia Arshid,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MS,"International Islamic University,Islamabad",Pakistan,,,
343,344,Ms. Shaista Rasheed ,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MS,Lahore University of Management Sciences,Pakistan,2005.0,,
345,346,Ms. Saima Imtiaz,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MS,Mohammad Ali Jinnah University,Pakistan,,,
351,352,Ms. Aasma Sajjad,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MS,"International Islamic University,Islamabad",Pakistan,,Image Processing,
354,355,MUHAMAMD NAVEED ALAM,National University of Modern Languages,Computer Science,Capital,Head of Department,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,2005.0,"Data Mining, Bioinformatics",
356,357,MOHAMMAD RAZA PERWEZ,National University of Modern Languages,Computer Science,Capital,Assistant Professor,MS,IQRA University,Pakistan,2010.0,"Communication & Networks,Databases",
358,359,SAJJAD HAIDER,National University of Modern Languages,Computer Science,Capital,Assistant Professor,PhD,Universiti Teknologi PETRONAS,Malaysia,2012.0,"Indoor Positioning Systems, Mobility management,Handover in Wireless Communication.",
359,360,KH.MOYEEZULLAH GHORI,National University of Modern Languages,Computer Science,Capital,Assistant Professor,MS,"FAST– National University of Computer and Emerging Sciences,Islamabad",Pakistan,2004.0,"Databases, Data Warehousing,  Artificial Intelligence,Data structures, Algorithms",
361,362,ATA ULLAH GHAFOOR,National University of Modern Languages,Computer Science,Capital,Assistant Professor,MS,"COMSATS Institute of Information Technology,Islamabad",Pakistan,2007.0,"Wireless Sensor Networks Security, Mobile Application Development, VoIP, Cloud Computing, Next Generation Networks, IMS, VOLTE ",PhD in progress from IIU
362,363,DR NOMAN MALIK,National University of Modern Languages,Computer Science,Capital,Assistant Professor,PhD,"Razak School of Engineering and Advanced Technology, Universiti Teknologi Malaysia (UTM)",Malaysia,2015.0,"Human Computer Interaction (HCI), Knowledge Management , Software Project Management, Management Information System (MIS)

",
364,365,FOUZIA JAMAL GOREJA,National University of Modern Languages,Computer Science,Capital,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,2015.0,"Language Teaching, Applied linguistics (Language teaching) and Literature.",
365,366,ABDUL KALEEM,National University of Modern Languages,Computer Science,Capital,Lecturer,BS,National University of Modern Languages,Pakistan,2005.0,"Artificial Intelligence, Programming, algorithms,Data warehousing,Databases",
366,367,RANA ABDUL SAMI KHAN,National University of Modern Languages,Computer Science,Capital,Lecturer,MS,University of Engineering and Technology,Pakistan,2009.0,"Language Definition & Translators, Data Structures, Algorithms & Programming",
367,368,SARAH MAZHAR,National University of Modern Languages,Computer Science,Capital,Lecturer,MCS,University Institute of Information Technology,Pakistan,2006.0,,
368,369,MUHAMMAD EHSAN UL HAQ,National University of Modern Languages,Computer Science,Capital,Lecturer,MS,IQRA University,Pakistan,2009.0,"Computer Networks, Communication, Operating System",
369,370,SAJIDA NAVEED,National University of Modern Languages,Computer Science,Capital,Lecturer,MA,National University of Modern Languages,Pakistan,2003.0,,
371,372,SAJID MUNIR,National University of Modern Languages,Computer Science,Capital,Lecturer,MCS,University of Arid Agriculture,Pakistan,2007.0,"Web Application Development, Databases, Programming",
374,375,ZAINAB MALIK,National University of Modern Languages,Computer Science,Capital,Lecturer,Mphil,Quaid-i-Azam University,Pakistan,2013.0,"Wireless Multihop Networks, Bandwidth Estimation and Reservation,IEEE 802.11 and IEEE 802.11e",
376,377,UNSA MASOOD SATTI,National University of Modern Languages,Computer Science,Capital,Lecturer,MPhil,Quaid-i-Azam University,Pakistan,2013.0,"Wireless Multihop Networks, Bandwidth Estimation and Reservation,IEEE 802.11 and IEEE 802.11e",
378,379,SOHAIL AHMED DAYO,National University of Modern Languages,Computer Science,Capital,Lecturer,MS,National University of Sciences and Technology,Pakistan,2013.0,,
379,380,SHAMAILA QAYYUM,National University of Modern Languages,Computer Science,Capital,Lecturer,MS,"International Islamic University,Islamabad",Pakistan,2012.0,"Software Engineering, Success/failure of ERP implementation, Usability, Requirements Prioritization ",PhD in progress
380,381,ASIM REHAN,National University of Modern Languages,Computer Science,Capital,Lecturer,MS,"FAST– National University of Computer and Emerging Sciences,Islamabad",Pakistan,2015.0,"Machine Learning, Data Mining, Evolutionary Algorithms, Artificial Intelligence ",
382,383,ADEEL AHMED,National University of Modern Languages,Computer Science,Capital,Lecturer,MPhil,Quaid-i-Azam University,Pakistan,2011.0,"Large Scale Schema Matching and Integration, Machine Learning & Pattern Recognition, Social Network Analysis, Information Retrieval Systems (Recommender Systems),Semantic Web, Software Re-engineering, Bioinformatics  ",
383,384,Fahad Tahir,Air University,Computer Science,Capital,Assistant Professor,PhD,Queen Mary University of London,UK,,"Computer Vision, Data Analysis , Pattern Matching, Video Surveillance, Object Tracking and Re-Identification",
384,385,Sheikh Muhammad Qasim,Air University,Computer Science,Capital,Professor,PhD,University of Illinois,Urbana,,,
385,386,Mehdi Hassan,Air University,Computer Science,Capital,Assistant Professor,PhD,Pakistan Institute of Engineering and Applied Sciences,Pakistan,,"Biomedical Image Processing and Analysis, Pattern Recognition, Machine Learning",
386,387,Ahmad Jalal,Air University,Computer Science,Capital,Assistant Professor,Post Doc,Pohang University of Science and Technology,SouthKorea,,"Multimedia design and system, Human computer interaction, Computer Vision, Artificial Intelligence, Image processing, Computer Graphics",
387,388,Omer Ishaq Hassan,Air University,Computer Science,Capital,Assistant Professor,PhD,Uppsala University,Sweden,,Image analysis & Deep learning,
388,389,Aamer Hanif,Air University,Computer Science,Capital,Assistant Professor,MS,"FAST– National University of Computer and Emerging Sciences,Islamabad",Pakistan,,"Data Mining, Quality Management, Project Management",
389,390,Imran Ihsan,Air University,Computer Science,Capital,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,,"Semantic Web, Ontology Engineering, Data Sciences",PhD in progress from Capital University of Science & Technology
390,391,Atta ur Rehman Khan,Air University,Computer Science,Capital,Associate Professor,PhD,University of Malaya,Malaysia,,"Cybersecurity, Mobile Cloud Computing, and IoT",
391,392,Muhammad Shafi,Air University,Computer Science,Capital,Associate Professor,PhD,Loughborough University,UK,,Computer Vision,
392,393,Shaharyar Kamal,Air University,Computer Science,Capital,Assistant Professor,PhD,Kyung Hee University,SouthKorea,,"Wireless Networks and Security, 5G and Internet of Things.",
393,394,Farah Haneef,Air University,Computer Science,Capital,Lecturer,Mphil,Quaid-i-Azam University,Pakistan,,"Social Networks Analysis, Software Testing, Algorithm Design and Development.","PhD in progress from  Quaid-e-Azam University, Islamabad 
"
395,396,Mehwish Shaffiq,Air University,Computer Science,Capital,Lecturer,MSc,University of Liverpool,UK,,Software Engineering Web Technologies,
396,397,Faisal Fayyaz,Air University,Computer Science,Capital,Lecturer,MS,University of Sunderland,UK,,Software Engineering,
397,398,Asif Jamal,Air University,Computer Science,Capital,Lecturer,MS,Mid Sweden University,Sweden,,"Wireless Sensors, Cluster & Cloud Computing, Programming.",
398,399,Syed Atif Muqurrab,Air University,Computer Science,Capital,Lecturer,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,"Data Privacy, Artificial Intelligence, Digital Marketing, Web Development",PhD in progress from COMSATS
399,400,Sidra Siddiqui,Air University,Computer Science,Capital,Lecturer,MS,"Bahria University,Islamabad",Pakistan,,,
400,401,Sajid Riaz,Air University,Computer Science,Capital,Lecturer,MS,Lahore University of Management Sciences,Pakistan,,,
401,402,Dr. Faisal Bashir,"Bahria University,Islamabad",Computer Science,Capital,Head of Department,Post Doc,Chosun University,SouthKorea,2013.0,"Ad hoc Networks, Wireless Sensor Networks, Wireless Personal Area Networks and Wireless Body Area Networks",
402,403,Dr Muhammad Ramzan ,"Bahria University,Islamabad",Computer Science,Capital,Professor,PhD,Quaid-i-Azam University,Pakistan,2010.0,  Wave Mechanics/Fluid Mechanics,
404,405,Mr. Rashid Karim,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,MSc,University of Sussex,UK,1991.0,"Formal Languages , Compiler Design, Quality in Education",
406,407,Dr. Imran Ahmed Siddqui,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,Paris Descartes University,France,2009.0,,
407,408,Dr. Muhammad Muzammal,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,University of Leicester,UK,2012.0,"Data Science, e-Learning, Software Engineering, Augmented/Virtual Reality",
408,409,Dr. Shagufta Henna,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,University of Leicester,UK,2013.0,"Mobile Ad hoc Networks, Wireless Sensor Networks (WSNs), Wireless Body Area Networks, Coverage in WSNs, Software Defined Networking, Massive Machine Type Access in Future Generation Networks, Low Power Wide Area Networks (LPWAN), Adaptive Data Rate in LPWAN, Approximation Algorithms, and NP-hard problems in Wireless Sensor Networks, Wireless Chargeable Sensor Networks",
409,410,Dr. Sumaira Kausar,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,National University of Sciences and Technology,Pakistan,2014.0,"Pattern recognition, image analysis, machine learning.",
410,411,Dr. Samabia Tahsin,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,National University of Sciences and Technology,Pakistan,2014.0,"Digital Image Processing, Document Analysis, Computer Vision",
411,412,Dr.Arif ur Rehman,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,University of Porto,Portugal,2013.0,"Digital Preservation, Database Preservation, Information Retrieval, Information Systems",
412,413,Dr. Muhammad Asfand-e-yar,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,Vienna University of Technology,Austria,2011.0,"Semantic Web Technology, Smart Technologies, Digital Right Management Systems",
413,414,Ms. Saima Jawad ,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,MS,University of Manchester,UK,1995.0,"Learning Systems,Quality in Higher Education",
414,415,Dr. Sabina Akhtar,"Bahria University,Islamabad",Computer Science,Capital,Assistant Professor,PhD,"Université Henri Poincaré, Nancy 1,",France,2012.0,"Distributed Algorithms, Formal Methods, Model Checking",
415,416,Dr. Muneeb Gohar,"Bahria University,Islamabad",Computer Science,Capital,Assistant Professor,PhD,Kyungpook National University,SouthKorea,2012.0,,
416,417,Mr. Suroor Zaidi,"Bahria University,Islamabad",Computer Science,Capital,Assistant Professor,MS,Bahria University,Pakistan,2016.0,Software Engineering,
417,418,Mr. Assad Iqbal,"Bahria University,Islamabad",Computer Science,Capital,Assistant Professor,MS,Centre for Advanced Studies in Engineering,Pakistan,2011.0,"Engineering Education, Human Factors in Engineering, Big Data and Cloud.",
418,419,Mr. Ghulam Ali Mirza,"Bahria University,Islamabad",Computer Science,Capital,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,2010.0,"Data Integration, Image Processing",
419,420,Ms. Ambrina Kanwal,"Bahria University,Islamabad",Computer Science,Capital,Assistant Professor,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,2008.0,"Cryptography,Numerical Computing",
420,421,Mr Khushal Shah,"Bahria University,Islamabad",Computer Science,Capital,Assistant Professor,MS,Queen Mary University of London,UK,2013.0,"Distributed Computing, Cloud Computing, Grid Computing, Database Systems.",
421,422,Dr. Waqas Aman,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,"Norwegian University of Science and Technology (NTNU),",Norway,2016.0,"Security in Critical Infrastructures, Privacy, Security in Smart Ecosystems, Application Security, Risk Management, Adaptive Security, Internet of Things(IoT), Big Data Security.",
